Date,Last Trade Price,Max,Min,Average Price,Percent Change,Volume,Turnover (Best),Total Turnover
14.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
13.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,5.465.080
12.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
11.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
08.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
07.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
14.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
13.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,5.465.080
12.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
11.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
08.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
07.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
29.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
28.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
27.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
26.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
23.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
22.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
21.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
20.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
19.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
16.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
15.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
14.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
13.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
12.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
09.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
07.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
06.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
05.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
02.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
01.12.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
30.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
29.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
28.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
25.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
24.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
23.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
22.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
21.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
18.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
17.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
16.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
15.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
14.11.2022,"773,00",NULL,NULL,"773,00","0,00",0,0,0
11.11.2022,"773,00","773,00","773,00","773,00",NULL,301,232.673,232.673
14.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
13.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,5.465.080
12.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
11.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
08.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
07.11.2024,"773,00",NULL,NULL,"773,00","0,00",0,0,0
