Date,Last Trade Price,Max,Min,Average Price,Percent Change,Volume,Turnover (Best),Total Turnover
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/5/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/4/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/1/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/31/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/30/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/29/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/28/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/25/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/24/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/22/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/21/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/18/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/17/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/16/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/15/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/14/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/10/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/9/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/8/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/5/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/4/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/1/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/31/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/30/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/29/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/28/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/25/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/24/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/22/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/21/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/18/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/17/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/16/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/15/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/14/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/10/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/9/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/8/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/5/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/4/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/1/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/31/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/30/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/29/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/28/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/25/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/24/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/22/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/21/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/18/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/17/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/16/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/15/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/14/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/10/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/9/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/8/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/5/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/4/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/1/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/31/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/30/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/29/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/28/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/25/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/24/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/22/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/21/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/18/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/17/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/16/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/15/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/14/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/10/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/9/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/8/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/5/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/4/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/1/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/31/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/30/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/29/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/28/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/25/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/24/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/22/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/21/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/18/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/17/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/16/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/15/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/14/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/10/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/9/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/8/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/5/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/4/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/1/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/31/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/30/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/29/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/28/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/25/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/24/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/22/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/21/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/18/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/17/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/16/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/15/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/14/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/10/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/9/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/8/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
10/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/7/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
11/6/2024,923.00,NULL,NULL,923.00,0.00,0,0,0
