Date,Last Trade Price,Max,Min,Average Price,Percent Change,Volume,Turnover (Best),Total Turnover
14.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
13.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
12.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
11.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,3.075.000
08.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
07.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
06.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
05.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
14.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
13.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
12.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
11.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,3.075.000
08.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
07.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
06.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
05.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
14.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
13.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
12.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
11.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,3.075.000
08.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
07.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
06.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
05.11.2024,NULL,NULL,NULL,NULL,NULL,0,0,0
